AL,7
AK,1
AZ,8
AR,4
CA,53
CO,7
CT,5
DE,1
FL,25
GA,13
HI,2
ID,2
IL,19
IN,9
IA,5
KS,4
KY,6
LA,7
ME,2
MD,8
MA,10
MI,15
MN,8
MS,4
MO,9
MT,1
NE,3
NV,3
NH,2
NJ,13
NM,3
NY,29
NC,13
ND,1
OH,18
OK,5
OR,5
PA,19
RI,2
SC,6
SD,1
TN,9
TX,32
UT,3
VT,1
VA,11
WA,9
WV,3
WI,8
WY,1
